CCTV-1综合,http://ivi.bupt.edu.cn/hls/cctv1.m3u8
CCTV-2财经,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV-13新闻,http://ivi.bupt.edu.cn/hls/cctv13.m3u8
CCTV-14少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV-15音乐,http://ivi.bupt.edu.cn/hls/cctv15.m3u8
CCTV-NEWS,http://ivi.bupt.edu.cn/hls/cctv16.m3u8
BTV-北京卫视,http://ivi.bupt.edu.cn/hls/btv1.m3u8
BTV-文艺,http://ivi.bupt.edu.cn/hls/btv2.m3u8
BTV-科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
BTV-影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
BTV-财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
BTV-体育,http://ivi.bupt.edu.cn/hls/btv6.m3u8
BTV-生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
BTV-青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
电影,http://live.gslb.letv.com/gslb?stream_id=lb_movie_1300&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=3
都市剧场,http://live.gslb.letv.com/gslb?stream_id=lb_dsjc_800&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1007&format=cs1&expect=3
动作电影,http://live.gslb.letv.com/gslb?stream_id=lb_dzdy_1300&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=3
香港电影,http://live.gslb.letv.com/gslb?stream_id=lb_hkmovie_1300&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=3
喜剧电影,http://live.gslb.letv.com/gslb?stream_id=lb_comedy_1300&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=3
电视剧,http://live.gslb.letv.com/gslb?stream_id=lb_tv_1300&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=3
抗战剧场,http://live.gslb.letv.com/gslb?stream_id=lb_kangz_1300&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=3
武侠剧场,http://live.gslb.letv.com/gslb?stream_id=lb_wxjc_1000&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=3